@relation murad

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute ra real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute activity { Lying,Falling,Sitting,Standing,Walking }


@data
-0.92,-0.11,0,0.920869154657707,0.114017542509913,0,0.0399999999999999,0.0299999999999999,0,0.92655275079188,0.032,0.018,0,Sitting
-0.925,-0.105,0,0.926012958872606,0.107238052947636,0,0.0433012701892219,0.0217944947177033,0,0.930940384772301,0.0375,0.0095,0,Sitting
-0.919999999999999,-0.1,0,0.920869154657707,0.1,0,0.0399999999999999,0,0,0.925418824100741,0.032,0,0,Sitting
-0.925,-0.1,0,0.926012958872606,0.1,0,0.0433012701892219,0,0,0.930389703296419,0.0375,0,0,Sitting
-0.925,-0.07,0.005,0.926012958872606,0.0836660026534075,0.0223606797749979,0.0433012701892219,0.0458257569495584,0.0217944947177033,0.927658342279095,0.0375,0.042,0.0095,Sitting
-0.919999999999999,-0.075,0,0.920869154657707,0.0866025403784438,0,0.0399999999999999,0.0433012701892219,0,0.923052002868744,0.032,0.0375,0,Sitting
-0.9,-0.065,0,0.9,0.0806225774829855,0,0,0.0476969600708472,0,0.902344169372197,0,0.0455,0,Sitting
-0.915,-0.0549999999999999,0,0.915696456256111,0.0741619848709566,0,0.0357071421427142,0.0497493718553309,0,0.916651515026294,0.0255,0.0495,0,Sitting
-0.94,-0.1,0,0.941275730060007,0.1,0,0.0489897948556635,0,0,0.945304183847718,0.048,0,0,Sitting
-0.925,-0.1,0,0.926012958872606,0.1,0,0.0433012701892219,0,0,0.930389703296419,0.0375,0,0,Sitting
-0.925,-0.1,0,0.926012958872606,0.1,0,0.0433012701892219,0,0,0.930389703296419,0.0375,0,0,Sitting
-0.92,0,0,0.920869154657707,0,0,0.0399999999999999,0,0,0.92,0.032,0,0,Standing
-0.929999999999999,0,0,0.931128347758782,0,0,0.0458257569495584,0,0,0.929999999999999,0.042,0,0,Standing
-0.929999999999999,0,0,0.931128347758782,0,0,0.0458257569495584,0,0,0.929999999999999,0.042,0,0,Standing
-0.945,0,0,0.94630861773525,0,0,0.0497493718553309,0,0,0.945,0.0494999999999999,0,0,Standing
-0.93,0,0,0.931128347758782,0,0,0.0458257569495583,0,0,0.93,0.042,0,0,Standing
-0.925,0,0,0.926012958872606,0,0,0.0433012701892219,0,0,0.925,0.0375,0,0,Standing
-0.909999999999999,0,0,0.910494371207203,0,0,0.0299999999999999,0,0,0.909999999999999,0.018,0,0,Standing
-0.915,0,0,0.915696456256111,0,0,0.0357071421427142,0,0,0.915,0.0255,0,0,Standing
-0.919999999999999,0,0,0.920869154657707,0,0,0.0399999999999999,0,0,0.919999999999999,0.032,0,0,Standing
-0.92,0,0,0.920869154657707,0,0,0.0399999999999999,0,0,0.92,0.032,0,0,Standing
-0.909999999999999,0,0,0.910494371207203,0,0,0.0299999999999999,0,0,0.909999999999999,0.018,0,0,Standing
-0.919999999999999,0,0,0.920869154657707,0,0,0.0399999999999999,0,0,0.919999999999999,0.032,0,0,Standing
-0.909999999999999,0,0,0.910494371207203,0,0,0.0299999999999999,0,0,0.909999999999999,0.018,0,0,Standing
-0.935,0,0,0.936215787091843,0,0,0.0476969600708472,0,0,0.935,0.0455,0,0,Standing
-0.929999999999999,0,0,0.931128347758782,0,0,0.0458257569495584,0,0,0.929999999999999,0.042,0,0,Standing
-0.9,0,0.005,0.9,0,0.0223606797749979,0,0,0.0217944947177033,0.900013888781723,0,0,0.0095,Standing
-0.919999999999999,0,0,0.920869154657707,0,0,0.0399999999999999,0,0,0.919999999999999,0.032,0,0,Standing
-0.925,0,0,0.926012958872606,0,0,0.0433012701892219,0,0,0.925,0.0375,0,0,Standing
-0.905,0,0,0.905262392900533,0,0,0.0217944947177033,0,0,0.905,0.0095,0,0,Standing
-0.934999999999999,0,0,0.936215787091843,0,0,0.0476969600708472,0,0,0.934999999999999,0.0455,0,0,Standing
-0.919999999999999,-0.005,0,0.920869154657707,0.0223606797749979,0,0.0399999999999999,0.0217944947177033,0,0.920013586856194,0.032,0.0095,0,Standing
-0.934999999999999,0,0,0.936215787091843,0,0,0.0476969600708472,0,0,0.934999999999999,0.0455,0,0,Standing
-0.934999999999999,0,0,0.936215787091843,0,0,0.0476969600708472,0,0,0.934999999999999,0.0455,0,0,Standing
-0.92,0,0,0.920869154657707,0,0,0.0399999999999999,0,0,0.92,0.032,0,0,Standing
-0.915,0,0,0.915696456256111,0,0,0.0357071421427142,0,0,0.915,0.0255,0,0,Standing
-0.934999999999999,0,0,0.936215787091843,0,0,0.0476969600708472,0,0,0.934999999999999,0.0455,0,0,Standing
-0.915,0,0,0.915696456256111,0,0,0.0357071421427142,0,0,0.915,0.0255,0,0,Standing
-0.925,0,0,0.926012958872606,0,0,0.0433012701892219,0,0,0.925,0.0375,0,0,Standing
-0.915,0,0.005,0.915696456256111,0,0.0223606797749979,0.0357071421427142,0,0.0217944947177033,0.915013661100204,0.0255,0,0.0095,Standing
-0.94,0,0,0.941275730060007,0,0,0.0489897948556635,0,0,0.94,0.048,0,0,Standing
-0.925,0,0,0.926012958872606,0,0,0.0433012701892219,0,0,0.925,0.0375,0,0,Standing
-0.915,0,0,0.915696456256111,0,0,0.0357071421427142,0,0,0.915,0.0255,0,0,Standing
-0.915,0,0,0.915696456256111,0,0,0.0357071421427142,0,0,0.915,0.0255,0,0,Standing
-0.915,0,0,0.915696456256111,0,0,0.0357071421427142,0,0,0.915,0.0255,0,0,Standing
-0.934999999999999,0.01,0.04,0.953152663532972,0.0316227766016838,0.0707106781186547,0.185135085815736,0.03,0.058309518948453,0.935908649388389,0.1425,0.018,0.052,Walking
-0.929999999999999,-0.114999999999999,0.06,0.956556323485449,0.139642400437689,0.0774596669241483,0.223830292855993,0.0792148975887743,0.0489897948556635,0.939002129923037,0.176,0.0679999999999999,0.048,Walking
-0.96,-0.0549999999999999,0.015,0.987927122818277,0.0806225774829855,0.116189500386222,0.233238075793812,0.0589491306127579,0.115217186218029,0.961691218635171,0.204,0.055,0.0965,Walking
-0.915,-0.02,-0.015,0.921140597303148,0.0447213595499958,0.0387298334620741,0.106183802907976,0.04,0.0357071421427142,0.915341466339202,0.081,0.032,0.0255,Walking
-0.955,-0.13,-0.02,0.965142476528724,0.137840487520902,0.0632455532033676,0.139552857369528,0.0458257569495584,0.0599999999999999,0.96401504137643,0.114999999999999,0.042,0.042,Walking
-0.939999999999999,-0.065,-0.0349999999999999,0.941806774237688,0.0974679434480896,0.0591607978309961,0.058309518948453,0.0726291952316697,0.0476969600708472,0.942894479780213,0.052,0.065,0.0455,Walking
-0.955,0.01,-0.02,0.958905626221892,0.0316227766016838,0.0447213595499958,0.0864580823289529,0.0299999999999999,0.04,0.955261744235578,0.0715,0.018,0.032,Walking
-0.925,-0.03,0.065,0.92655275079188,0.0632455532033676,0.0806225774829855,0.053619026473818,0.0556776436283002,0.0476969600708472,0.927766134324809,0.045,0.049,0.0455,Walking
-0.979999999999999,0.005,0.0499999999999999,0.991463564635635,0.05,0.0774596669241483,0.150332963783729,0.049749371855331,0.0591607978309961,0.981287419668671,0.125999999999999,0.0284999999999999,0.055,Walking
-0.87,-1.38777878078144E-18,-0.0399999999999999,0.880908621821809,0.0774596669241483,0.0774596669241483,0.138202749610852,0.0774596669241483,0.066332495807108,0.87091905479212,0.106,0.0499999999999999,0.056,Walking
-1.03,-0.045,0.065,1.0540398474441,0.120415945787922,0.0806225774829855,0.223830292855993,0.111691539518443,0.0476969600708472,1.03302952523149,0.187,0.0995,0.0455,Walking
-0.975,0.025,0.08,0.990706818387761,0.0591607978309961,0.0894427190999916,0.175712833908055,0.053619026473818,0.04,0.978595932957009,0.147499999999999,0.04,0.032,Walking
-0.925,-0.105,-0.095,0.931933474020544,0.116189500386222,0.107238052947636,0.113468057179102,0.049749371855331,0.0497493718553309,0.93577507981352,0.0774999999999999,0.0285,0.0285,Walking
-0.934999999999999,-0.02,-0.025,0.937283308290508,0.0547722557505166,0.05,0.0653834841531101,0.0509901951359278,0.0433012701892219,0.93554796777076,0.0525,0.0399999999999999,0.0375,Walking
-0.954999999999999,-0.02,0.085,0.956294933584822,0.0447213595499958,0.0921954445729289,0.0497493718553309,0.04,0.0357071421427142,0.95898383719435,0.0494999999999999,0.032,0.0255,Walking
-0.979999999999999,-0.06,-0.02,0.996493853468249,0.104880884817015,0.1,0.180554700852677,0.0860232526704262,0.0979795897113271,0.982038695775273,0.146,0.076,0.078,Walking
-0.89,0.02,-0.005,0.892748564826625,0.0447213595499958,0.0223606797749979,0.0699999999999999,0.04,0.0217944947177033,0.890238732026415,0.0539999999999999,0.032,0.0095,Walking
-1.005,-0.06,0.0799999999999999,1.03609845092056,0.114017542509913,0.126491106406735,0.251942453746882,0.0969535971483265,0.0979795897113271,1.00996287060465,0.2055,0.086,0.084,Walking
-0.935,0,0.115,0.94841973830156,0,0.128452325786651,0.158981130955846,0,0.0572276157112979,0.942045646452442,0.135,0,0.0425,Walking
-0.935,-0.0499999999999999,-0.03,0.952102935611481,0.1,0.0707106781186547,0.179652442232216,0.0866025403784438,0.0640312423743284,0.936816417447943,0.1485,0.075,0.052,Walking
-1.005,-0.025,0,1.02396288995256,0.0591607978309961,0.0316227766016838,0.19615045245933,0.053619026473818,0.0316227766016838,1.00531089718554,0.166999999999999,0.04,0.01,Walking
-0.87,-0.22,0.0399999999999999,0.884307638777365,0.232379000772445,0.0707106781186547,0.158429795177548,0.0748331477354788,0.058309518948453,0.898276126811795,0.126,0.058,0.054,Walking
-0.919999999999999,-0.19,-0.035,0.930591209930547,0.197484176581315,0.139642400437689,0.14,0.053851648071345,0.135185058345957,0.94006648701036,0.098,0.036,0.1285,Walking
-0.905,-0.09,-0.13,0.906366371838673,0.109544511501033,0.137840487520902,0.0497493718553309,0.0624499799839839,0.0458257569495583,0.918708332388468,0.0284999999999999,0.045,0.042,Walking
-0.945,-0.0549999999999999,-0.0399999999999999,0.947892398956759,0.0741619848709566,0.0707106781186547,0.0739932429347437,0.0497493718553309,0.058309518948453,0.94744392973938,0.063,0.0495,0.052,Walking
-0.915,-0.045,0,0.915696456256111,0.0670820393249937,0,0.0357071421427142,0.0497493718553309,0,0.916105889076148,0.0255,0.0495,0,Walking
