@relation eswari

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute ra real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute activity { Lying,Sitting,Standing,Walking }


@data
-0.9,0.2,0.005,0.9,0.2,0.0223606797749979,0,0,0.0217944947177033,0.921968003783211,0,0,0.0095,Lying
-0.915,0.185,0,0.916242326025162,0.188414436814167,0.0316227766016838,0.0476969600708472,0.0357071421427142,0.0316227766016838,0.933514863298919,0.034,0.0255,0.01,Lying
-0.93,0.085,0.135,0.931128347758782,0.0974679434480896,0.143178210632763,0.0458257569495583,0.0476969600708472,0.0476969600708472,0.943583594600923,0.042,0.034,0.0455,Lying
-0.945,0.09,0.07,0.94841973830156,0.0948683298050514,0.0836660026534075,0.0804673846971554,0.0299999999999999,0.0458257569495584,0.951853455107455,0.0694999999999999,0.018,0.042,Lying
-0.875,0.155,0.03,0.876070773396761,0.162788205960997,0.0547722557505166,0.0433012701892219,0.0497493718553309,0.0458257569495584,0.889128787071929,0.0375,0.0495,0.042,Lying
-0.929999999999999,0.105,0.005,0.931128347758782,0.116189500386222,0.0223606797749979,0.0458257569495584,0.049749371855331,0.0217944947177033,0.93592200529745,0.042,0.0285,0.0095,Lying
-0.909999999999999,0.075,0.025,0.910494371207203,0.0866025403784438,0.05,0.0299999999999999,0.0433012701892219,0.0433012701892219,0.91342761070596,0.018,0.0375,0.0375,Lying
-0.919999999999999,0.06,0.0499999999999999,0.920869154657707,0.0774596669241483,0.0707106781186547,0.0399999999999999,0.0489897948556635,0.05,0.923309265630969,0.032,0.048,0.05,Lying
-0.93,0.005,0.075,0.931128347758782,0.0223606797749979,0.0866025403784438,0.0458257569495583,0.0217944947177033,0.0433012701892219,0.93303268967384,0.042,0.0095,0.0375,Lying
-0.94,0,0,0.941275730060007,0,0,0.0489897948556635,0,0,0.94,0.048,0,0,Lying
