@relation Sweetlin_activity

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute parameter real
@attribute activity { Lying,Sitting,Standing,Walking }


@data
-0.4,-0.73,0.37,0.41952353926806,0.734166193719106,0.42661458015403,0.126491106406735,0.0781024967590665,0.212367605815953,0.176,0.08,0.066,0.183999999999999,Lying
-0.335,-0.82,0.489999999999999,0.369459064038223,0.829457654133109,0.495983870705489,0.155804364508828,0.124899959967968,0.076811457478686,0.136499999999999,0.131999999999999,0.098,0.055,Lying
-0.225,-0.9,0.41,0.255929677841394,0.9,0.417133072292284,0.121963109176504,0,0.0768114574786861,0.0655,0.0949999999999999,0,0.0629999999999999,Lying
-0.175,-0.9,0.44,0.180277563773199,0.9,0.442718872423573,0.0433012701892219,0,0.0489897948556635,0.0325,0.0375,0,0.048,Lying
-0.195,-0.9,0.5,0.196214168703485,0.9,0.5,0.0217944947177033,0,0,0.0385,0.0095,0,0,Lying
-0.165,-0.895,0.5,0.171755640373176,0.895265323800715,0.5,0.0476969600708472,0.0217944947177033,0,0.0295,0.0455,0.0095,0,Lying
-0.13,-0.895,0.5,0.137840487520902,0.895265323800715,0.5,0.0458257569495584,0.0217944947177033,0,0.019,0.042,0.0095,0,Lying
-0.12,-0.815,0.51,0.134164078649987,0.819451035755035,0.510881590977792,0.06,0.0852936105461599,0.0299999999999999,0.018,0.048,0.0765,0.018,Lying
-0.105,-0.815,0.505,0.107238052947636,0.815781833580523,0.505470078244004,0.0217944947177033,0.0357071421427142,0.0217944947177033,0.0115,0.0095,0.0255,0.0095,Lying
-0.11,-0.845,0.514999999999999,0.114017542509913,0.846463230152379,0.516236379965612,0.03,0.0497493718553309,0.0357071421427142,0.013,0.018,0.0494999999999999,0.0255,Lying
-0.1,-0.84,0.514999999999999,0.1,0.841427358718505,0.516236379965612,0,0.0489897948556635,0.0357071421427142,0.01,0,0.048,0.0255,Lying
-0.105,-0.825,0.505,0.107238052947636,0.826135582092915,0.505470078244004,0.0217944947177033,0.0433012701892219,0.0217944947177033,0.0115,0.0095,0.0375,0.0095,Lying
-0.1,-0.845,0.505,0.1,0.846463230152379,0.505470078244004,0,0.0497493718553309,0.0217944947177033,0.01,0,0.0494999999999999,0.0095,Lying
-0.105,-0.835,0.5,0.107238052947636,0.836361166004257,0.5,0.0217944947177033,0.0476969600708472,0,0.0115,0.0095,0.0455,0,Lying
-0.1,-0.82,0.5,0.1,0.820975030070951,0.5,0,0.0399999999999999,0,0.01,0,0.032,0,Lying
-0.1,-0.825,0.5,0.1,0.826135582092915,0.5,0,0.0433012701892219,0,0.01,0,0.0375,0,Lying
-0.1,-0.835,0.5,0.1,0.836361166004257,0.5,0,0.0476969600708472,0,0.01,0,0.0455,0,Lying
-0.1,-0.835,0.5,0.1,0.836361166004257,0.5,0,0.0476969600708472,0,0.01,0,0.0455,0,Lying
-0.1,-0.855,0.5,0.1,0.856446145417212,0.5,0,0.0497493718553309,0,0.01,0,0.0494999999999999,0,Lying
-0.105,-0.835,0.5,0.107238052947636,0.836361166004257,0.5,0.0217944947177033,0.0476969600708472,0,0.0115,0.0095,0.0455,0,Lying
-0.105,-0.845,0.5,0.107238052947636,0.846463230152379,0.5,0.0217944947177033,0.0497493718553309,0,0.0115,0.0095,0.0494999999999999,0,Lying
-0.1,-0.855,0.5,0.1,0.856446145417212,0.5,0,0.0497493718553309,0,0.01,0,0.0494999999999999,0,Lying
-0.1,-0.83,0.5,0.1,0.831264097624816,0.5,0,0.0458257569495584,0,0.01,0,0.042,0,Lying
-0.105,-0.815,0.505,0.107238052947636,0.815781833580523,0.505470078244004,0.0217944947177033,0.0357071421427142,0.0217944947177033,0.0115,0.0095,0.0255,0.0095,Lying
-0.115,-0.845,0.5,0.120415945787922,0.846463230152379,0.5,0.0357071421427142,0.0497493718553309,0,0.0145,0.0255,0.0494999999999999,0,Lying
-0.1,-0.825,0.5,0.1,0.826135582092915,0.5,0,0.0433012701892219,0,0.01,0,0.0375,0,Lying
-0.105,-0.835,0.5,0.107238052947636,0.836361166004257,0.5,0.0217944947177033,0.0476969600708472,0,0.0115,0.0095,0.0455,0,Lying
-0.11,-0.825,0.5,0.114017542509913,0.826135582092915,0.5,0.0299999999999999,0.0433012701892219,0,0.013,0.018,0.0375,0,Lying
-0.115,-0.855,0.5,0.120415945787922,0.856446145417212,0.5,0.0357071421427142,0.0497493718553309,0,0.0145,0.0255,0.0494999999999999,0,Lying
-0.1,-0.825,0.5,0.1,0.826135582092915,0.5,0,0.0433012701892219,0,0.01,0,0.0375,0,Lying
-0.1,-0.815,0.505,0.1,0.815781833580523,0.505470078244004,0,0.0357071421427142,0.0217944947177033,0.01,0,0.0255,0.0095,Lying
-0.105,-0.83,0.5,0.107238052947636,0.831264097624816,0.5,0.0217944947177033,0.0458257569495583,0,0.0115,0.0095,0.042,0,Lying
-0.1,-0.85,0.5,0.1,0.85146931829632,0.5,0,0.0499999999999999,0,0.01,0,0.0499999999999999,0,Lying
-0.1,-0.855,0.5,0.1,0.856446145417212,0.5,0,0.0497493718553309,0,0.01,0,0.0494999999999999,0,Lying
-0.115,-0.825,0.5,0.120415945787922,0.826135582092915,0.5,0.0357071421427142,0.0433012701892219,0,0.0145,0.0255,0.0375,0,Lying
-0.105,-0.845,0.5,0.107238052947636,0.846463230152379,0.5,0.0217944947177033,0.0497493718553309,0,0.0115,0.0095,0.0494999999999999,0,Lying
-0.105,-0.825,0.5,0.107238052947636,0.826135582092915,0.5,0.0217944947177033,0.0433012701892219,0,0.0115,0.0095,0.0375,0,Lying
-0.1,-0.835,0.5,0.1,0.836361166004257,0.5,0,0.0476969600708472,0,0.01,0,0.0455,0,Lying
-0.11,-0.835,0.5,0.114017542509913,0.836361166004257,0.5,0.0299999999999999,0.0476969600708472,0,0.013,0.018,0.0455,0,Lying
-0.105,-0.84,0.5,0.107238052947636,0.841427358718505,0.5,0.0217944947177033,0.0489897948556635,0,0.0115,0.0095,0.048,0,Lying
-0.125,-0.83,0.5,0.132287565553229,0.831264097624816,0.5,0.0433012701892219,0.0458257569495584,0,0.0175,0.0375,0.042,0,Lying
-0.125,-0.845,0.5,0.132287565553229,0.846463230152379,0.5,0.0433012701892219,0.0497493718553309,0,0.0175,0.0375,0.0494999999999999,0,Lying
-0.105,-0.83,0.5,0.107238052947636,0.831264097624816,0.5,0.0217944947177033,0.0458257569495584,0,0.0115,0.0095,0.042,0,Lying
-0.105,-0.83,0.51,0.107238052947636,0.831264097624816,0.510881590977792,0.0217944947177033,0.0458257569495583,0.0299999999999999,0.0115,0.0095,0.042,0.018,Lying
-0.105,-0.82,0.505,0.107238052947636,0.820975030070951,0.505470078244004,0.0217944947177033,0.0399999999999999,0.0217944947177033,0.0115,0.0095,0.032,0.0095,Lying
-0.2,-0.865,0.49,0.202484567313165,0.866314030822542,0.490917508345343,0.0316227766016837,0.0476969600708472,0.0299999999999999,0.041,0.00999999999999999,0.0455,0.018,Lying
-0.405,-0.835,0.354999999999999,0.410487515035475,0.836958780347037,0.362629287289374,0.0668954408012982,0.0572276157112979,0.0739932429347437,0.1685,0.0475,0.052,0.0659999999999999,Lying
-0.599999999999999,-0.724999999999999,0.235,0.604152298679728,0.729040465269246,0.239791576165636,0.0707106781186547,0.0766485485837795,0.0476969600708472,0.365,0.0499999999999999,0.0675,0.0455,Lying
-0.785,-0.435,0.264999999999999,0.787718223732319,0.448887513749268,0.269258240356725,0.0653834841531101,0.110792599030801,0.0476969600708472,0.6205,0.044,0.0984999999999999,0.0454999999999999,Lying
-0.894999999999999,-0.175,0.299999999999999,0.895265323800715,0.191049731745428,0.3,0.0217944947177033,0.0766485485837794,0,0.8015,0.0095,0.0674999999999999,0,Lying
-0.9,-0.005,0.299999999999999,0.9,0.0591607978309961,0.3,0,0.0589491306127579,0,0.81,0,0.038,0,Lying
-0.895,0.135,0.235,0.895265323800715,0.143178210632763,0.239791576165635,0.0217944947177033,0.0476969600708472,0.0476969600708472,0.8015,0.0095,0.0455,0.0455,Lying
-0.885,0.294999999999999,0.2,0.885720046064218,0.29580398915498,0.2,0.0357071421427142,0.0217944947177033,0,0.7845,0.0255,0.0095,0,Lying
-0.885,0.299999999999999,0.12,0.885720046064218,0.3,0.126491106406735,0.0357071421427142,0,0.04,0.7845,0.0255,0,0.032,Lying
-0.9,0.225,0.17,0.9,0.229128784747792,0.17606816861659,0,0.0433012701892219,0.0458257569495583,0.81,0,0.0375,0.042,Lying
-0.9,0.2,0.2,0.9,0.2,0.2,0,0,0,0.81,0,0,0,Lying
