@relation amma

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute ra real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute activity { Lying,Sitting,Standing,Walking }


@data
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.905,0.1,0.1,0.905262392900533,0.1,0,0.0217944947177033,0,0.915983078446321,0,0.0095,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.105,0.9,0.1,0.107238052947636,0.9,0.1,0.0217944947177033,0,0,0.911605726177715,0.0095,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.105,0.9,0.1,0.107238052947636,0.9,0.1,0.0217944947177033,0,0,0.911605726177715,0.0095,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.105,0.905,0.1,0.107238052947636,0.905262392900533,0.1,0.0217944947177033,0.0217944947177033,0,0.916542415821548,0.0095,0.0095,0,Lying
0.105,0.9,0.1,0.107238052947636,0.9,0.1,0.0217944947177033,0,0,0.911605726177715,0.0095,0,0,Lying
0.105,0.9,0.1,0.107238052947636,0.9,0.1,0.0217944947177033,0,0,0.911605726177715,0.0095,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.105,0.9,0.1,0.107238052947636,0.9,0.1,0.0217944947177033,0,0,0.911605726177715,0.0095,0,0,Lying
0.105,0.9,0.1,0.107238052947636,0.9,0.1,0.0217944947177033,0,0,0.911605726177715,0.0095,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
0.1,0.9,0.1,0.1,0.9,0.1,0,0,0,0.911043357914429,0,0,0,Lying
-0.97,0,-0.025,0.971081870904817,0,0.05,0.0458257569495583,0,0.0433012701892219,0.970322111466084,0.042,0,0.0375,Sitting
-0.945,0,-0.02,0.94630861773525,0,0.0447213595499958,0.0497493718553309,0,0.04,0.945211616517698,0.0494999999999999,0,0.032,Sitting
-0.954999999999999,0,-0.015,0.956294933584822,0,0.0387298334620741,0.0497493718553309,0,0.0357071421427142,0.955117793782525,0.0494999999999999,0,0.0255,Sitting
-0.949999999999999,0,-0.015,0.951314879522022,0,0.0387298334620741,0.0499999999999999,0,0.0357071421427142,0.950118413672737,0.0499999999999999,0,0.0255,Sitting
-0.975,0,-0.01,0.975961064797156,0,0.0316227766016838,0.0433012701892219,0,0.0299999999999999,0.975051280702712,0.0375,0,0.018,Sitting
-0.965,0,-0.01,0.966178037423745,0,0.0316227766016838,0.0476969600708472,0,0.0299999999999999,0.965051812080574,0.0455,0,0.018,Sitting
-0.94,0,-0.02,0.941275730060007,0,0.0447213595499958,0.0489897948556635,0,0.04,0.940212741883452,0.048,0,0.032,Sitting
-0.945,0,-0.005,0.94630861773525,0,0.0223606797749979,0.0497493718553309,0,0.0217944947177033,0.945013227420653,0.0494999999999999,0,0.0095,Sitting
-0.955,0,-0.01,0.956294933584822,0,0.0316227766016838,0.0497493718553309,0,0.0299999999999999,0.955052354585862,0.0494999999999999,0,0.018,Sitting
-0.97,0,-0.015,0.971081870904817,0,0.0387298334620741,0.0458257569495583,0,0.0357071421427142,0.970115972448655,0.042,0,0.0255,Sitting
-0.954999999999999,0,-0.01,0.956294933584822,0,0.0316227766016838,0.0497493718553309,0,0.03,0.955052354585862,0.0494999999999999,0,0.018,Sitting
-0.964999999999999,0,-0.01,0.966178037423745,0,0.0316227766016838,0.0476969600708472,0,0.0299999999999999,0.965051812080574,0.0455,0,0.018,Sitting
-0.95,0,-0.015,0.951314879522022,0,0.0387298334620741,0.0499999999999999,0,0.0357071421427142,0.950118413672738,0.0499999999999999,0,0.0255,Sitting
-0.96,0,-0.025,0.961249187255833,0,0.05,0.0489897948556635,0,0.0433012701892219,0.960325465662553,0.048,0,0.0375,Sitting
-0.954999999999999,0,0,0.956294933584822,0,0,0.0497493718553309,0,0,0.954999999999999,0.0494999999999999,0,0,Sitting
-0.949999999999999,0,-0.03,0.951314879522022,0,0.0547722557505166,0.0499999999999999,0,0.0458257569495584,0.950473566176356,0.0499999999999999,0,0.042,Sitting
-0.96,0,-0.025,0.961249187255833,0,0.05,0.0489897948556635,0,0.0433012701892219,0.960325465662553,0.048,0,0.0375,Sitting
-0.964999999999999,0,-0.025,0.966178037423745,0,0.05,0.0476969600708472,0,0.0433012701892219,0.965323779879062,0.0455,0,0.0375,Sitting
