@relation Elder2_activity

@attribute meanx real
@attribute meany real
@attribute meanz real
@attribute rmsx real
@attribute rmsy real
@attribute rmsz real
@attribute sdx real
@attribute sdy real
@attribute sdz real
@attribute madx real
@attribute mady real
@attribute madz real
@attribute parameter real
@attribute activity { Sitting,Standing,Walkfast,Walkslow }


@data
-0.915,0.1,0.005,0.915696456256111,0.1,0.0223606797749979,0.0357071421427142,0,0.0217944947177033,0.8385,0.0255,0,0.0095,Sitting
-0.9,0.1,0.01,0.9,0.1,0.0316227766016838,0,0,0.0299999999999999,0.81,0,0,0.018,Sitting
-0.909999999999999,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.909999999999999,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.925,0.095,0,0.926012958872606,0.0974679434480896,0,0.0433012701892219,0.0217944947177033,0,0.8575,0.0375,0.0095,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.909999999999999,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.909999999999999,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.909999999999999,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.095,0,0.9,0.0974679434480896,0,0,0.0217944947177033,0,0.81,0,0.0095,0,Sitting
-0.905,0.1,0.005,0.905262392900533,0.1,0.0223606797749979,0.0217944947177033,0,0.0217944947177033,0.8195,0.0095,0,0.0095,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.915,0.1,0,0.915696456256111,0.1,0,0.0357071421427142,0,0,0.8385,0.0255,0,0,Sitting
-0.925,0.1,0,0.926012958872606,0.1,0,0.0433012701892219,0,0,0.8575,0.0375,0,0,Sitting
-0.909999999999999,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.915,0.1,0,0.915696456256111,0.1,0,0.0357071421427142,0,0,0.8385,0.0255,0,0,Sitting
-0.919999999999999,0.1,0.005,0.920869154657707,0.1,0.0223606797749979,0.0399999999999999,0,0.0217944947177033,0.848,0.032,0,0.0095,Sitting
-0.91,0.1,0,0.910494371207203,0.1,0,0.0299999999999999,0,0,0.829,0.018,0,0,Sitting
-0.919999999999999,0.1,0,0.920869154657707,0.1,0,0.0399999999999999,0,0,0.848,0.032,0,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.915,0.105,0,0.916242326025162,0.107238052947636,0,0.0476969600708473,0.0217944947177033,0,0.8395,0.027,0.0095,0,Sitting
-0.905,0.1,0,0.905262392900533,0.1,0,0.0217944947177033,0,0,0.8195,0.0095,0,0,Sitting
-0.9,0.1,0,0.9,0.1,0,0,0,0,0.81,0,0,0,Sitting
-0.9,0.11,0,0.9,0.114017542509913,0,0,0.0299999999999999,0,0.81,0,0.018,0,Sitting
